Number of variables: n = 8
GF extension exponent: l = 2
Polynomials' degree: b = 2
Total number of polynomials in file: 11
Bent functions type: PS-
Number of polynomials needed for a single function: t = 8
Fix last polynomial: false

Function: 61171C1D11AB6CA1C11D1A1B1167CA61A11B161711CDA6C10EE1E0E1EE01FFFE nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 
Function: E132549C21EA7C90E81C9E1853265B60839A1E4615E4A3D00E6AA0ECEC06FFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_11(X) = X^2 + 2 
Function: E133549D21EB7C91E81D9E1953275B61839B1E4715E5A3D10E6BA0EDEC070000 nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_11(X) = X^2 + 2 
Function: C127589930E35C31E909861B5345936123930E5514ADA59108EBE04D2E07FFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_11(X) = X^2 + 2 
Function: C1354C99306B7831A90D961352659B41A3830C5715A925D102EBE08D4E07FFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_5(X) = X^2 + 2X + 2 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_11(X) = X^2 + 2 
Function: C0375C9130CB3C31690D960B53619961A3910A5705ADA5510AABC0CD6607FFFE nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_11(X) = X^2 + 2 
Function: C1365C9830EA7C30E90C961A53649B60A3920E5615ACA5D00AEAE0CC6E06FFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_11(X) = X^2 + 2 
Function: C1375C9930EB7C31E90D961B53659B61A3930E5715ADA5D10AEBE0CD6E070000 nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_11(X) = X^2 + 2 
Function: E125489D316358B1A9198E135247D341238B1C5514E9279104EBE02D8E07FFFE nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_11(X) = X^2 + 2 
Function: E027589531C31CB169198E0B5343D16123991A5504EDA7110CABC06DA607FFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_4(X) = X^2 + 3X + 1 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_11(X) = X^2 + 2 
Function: E126589C31E25CB0E9188E1A5346D360239A1E5414ECA7900CEAE06CAE06FFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_11(X) = X^2 + 2 
Function: E127589D31E35CB1E9198E1B5347D361239B1E5514EDA7910CEBE06DAE070000 nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_11(X) = X^2 + 2 
Function: E0354C95314B38B1291D9E035263D941A389185705E9275106ABC0ADC607FFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_11(X) = X^2 + 2 
Function: E1344C9C316A78B0A91C9E125266DB40A38A1C5615E827D006EAE0ACCE06FFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_3(X) = X^2 + 3X + 3 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_11(X) = X^2 + 2 
Function: E1354C9D316B78B1A91D9E135267DB41A38B1C5715E927D106EBE0ADCE070000 nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_11(X) = X^2 + 2 
Function: E0365C9431CA3CB0691C9E0A5362D960A3981A5605ECA7500EAAC0ECE606FFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_11(X) = X^2 + 2 
Function: E0375C9531CB3CB1691D9E0B5363D961A3991A5705EDA7510EABC0EDE6070000 nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_2(X) = X^2  	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_11(X) = X^2 + 2 
Function: E1365C9C31EA7CB0E91C9E1A5366DB60A39A1E5615ECA7D00EEAE0ECEE060000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_11(X) = X^2 + 2 
Function: 2533168D09E96591E055983941A75A31C21B3E03954593C10E4720EBE80DFFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: 05371E8918E96531E145903B41E59A31E2132E13950D95C10AC760CB6A0DFFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_7(X) = X^2 + 2X + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: 25271A8D19E145B1E151883B41C7D231621B3E11944D97810CC7606BAA0DFFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: 25350E8D196961B1A155983340E7DA11E20B3C13954917C106C760ABCA0DFFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: 24371E8519C925B16155982B41E3D831E2193A13854D97410E8740EBE20DFFFE nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: 25361E8C19E865B0E154983A41E6DA30E21A3E12954C97C00EC660EAEA0CFFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: 25371E8D19E965B1E155983B41E7DA31E21B3E13954D97C10EC760EBEA0D0000 nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: 4533169908EB6D11E04D923951A51A71C3132E079585B1C10A67A0CB6C0DFFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_8(X) = X^2 + X + 2 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: 6523129D09E34D91E0598A3951875271431B3E0594C5B3810C67A06BAC0DFFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_6(X) = X^2 + X + 3 	p_8(X) = X^2 + X + 2 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: 6531069D096B6991A05D9A3150A75A51C30B3C0795C133C10667A0ABCC0DFFFE nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_8(X) = X^2 + X + 2 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: 6433169509CB2D91605D9A2951A35871C3193A0785C5B3410E2780EBE40DFFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_8(X) = X^2 + X + 2 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: 6532169C09EA6D90E05C9A3851A65A70C31A3E0695C4B3C00E66A0EAEC0CFFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_8(X) = X^2 + X + 2 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: 6533169D09EB6D91E05D9A3951A75A71C31B3E0795C5B3C10E67A0EBEC0D0000 nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_8(X) = X^2 + X + 2 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: 45271A9918E34D31E149823B51C5927163132E15948DB58108E7E04B2E0DFFFE nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: 45350E99186B6931A14D923350E59A51E3032C17958935C102E7E08B4E0DFFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_5(X) = X^2 + 2X + 2 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: 44371E9118CB2D31614D922B51E19871E3112A17858DB5410AA7C0CB660DFFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: 45361E9818EA6D30E14C923A51E49A70E3122E16958CB5C00AE6E0CA6E0CFFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: 45371E9918EB6D31E14D923B51E59A71E3132E17958DB5C10AE7E0CB6E0D0000 nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: 65250A9D196349B1A1598A3350C7D251630B3C1594C9378104E7E02B8E0DFFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: 64271A9519C30DB161598A2B51C3D07163193A1584CDB7010CA7C06BA60DFFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_4(X) = X^2 + 3X + 1 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: 65261A9C19E24DB0E1588A3A51C6D270631A3E1494CCB7800CE6E06AAE0CFFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: 65271A9D19E34DB1E1598A3B51C7D271631B3E1594CDB7810CE7E06BAE0D0000 nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: 64350E95194B29B1215D9A2350E3D851E309381785C9374106A7C0ABC60DFFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: 65340E9C196A69B0A15C9A3250E6DA50E30A3C1695C837C006E6E0AACE0CFFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_3(X) = X^2 + 3X + 3 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: 65350E9D196B69B1A15D9A3350E7DA51E30B3C1795C937C106E7E0ABCE0D0000 nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: 64361E9419CA2DB0615C9A2A51E2D870E3183A1685CCB7400EA6C0EAE60CFFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: 64371E9519CB2DB1615D9A2B51E3D871E3193A1785CDB7410EA7C0EBE60D0000 nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_2(X) = X^2  	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: 65361E9C19EA6DB0E15C9A3A51E6DA70E31A3E1695CCB7C00EE6E0EAEE0C0000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 p_8(X) = X^2 + X + 2 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: 8533568928E97511E845943943A51B31C2932E43952591D10A4F20CF680FFFFE nl: 120 deg: 4 2-Rank: 36 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: A523528D29E15591E8518C3943875331429B3E41946593910C4F206FA80FFFFE nl: 120 deg: 4 2-Rank: 36 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_6(X) = X^2 + X + 3 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: A531468D29697191A8559C3142A75B11C28B3C43956113D1064F20AFC80FFFFE nl: 120 deg: 4 2-Rank: 36 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: A433568529C9359168559C2943A35931C2993A43856593510E0F00EFE00FFFFE nl: 120 deg: 4 2-Rank: 36 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: A532568C29E87590E8549C3843A65B30C29A3E42956493D00E4E20EEE80EFFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: A533568D29E97591E8559C3943A75B31C29B3E43956593D10E4F20EFE80F0000 nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: 85275A8938E15531E941843B43C5933162932E51942D959108CF604F2A0FFFFE nl: 120 deg: 4 2-Rank: 36 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_7(X) = X^2 + 2X + 1 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: 85354E8938697131A945943342E59B11E2832C53952915D102CF608F4A0FFFFE nl: 120 deg: 4 2-Rank: 36 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_5(X) = X^2 + 2X + 2 	p_7(X) = X^2 + 2X + 1 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: 84375E8138C935316945942B43E19931E2912A53852D95510A8F40CF620FFFFE nl: 120 deg: 4 2-Rank: 36 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_7(X) = X^2 + 2X + 1 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: 85365E8838E87530E944943A43E49B30E2922E52952C95D00ACE60CE6A0EFFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_7(X) = X^2 + 2X + 1 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: 85375E8938E97531E945943B43E59B31E2932E53952D95D10ACF60CF6A0F0000 nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_7(X) = X^2 + 2X + 1 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: A5254A8D396151B1A9518C3342C7D311628B3C519469179104CF602F8A0FFFFE nl: 120 deg: 4 2-Rank: 36 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: A4275A8539C115B169518C2B43C3D13162993A51846D97110C8F406FA20FFFFE nl: 120 deg: 4 2-Rank: 36 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_4(X) = X^2 + 3X + 1 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: A5265A8C39E055B0E9508C3A43C6D330629A3E50946C97900CCE606EAA0EFFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: A5275A8D39E155B1E9518C3B43C7D331629B3E51946D97910CCF606FAA0F0000 nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: A4354E85394931B129559C2342E3D911E289385385691751068F40AFC20FFFFE nl: 120 deg: 4 2-Rank: 36 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: A5344E8C396871B0A9549C3242E6DB10E28A3C52956817D006CE60AECA0EFFFE nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_1(X) = 1 	p_3(X) = X^2 + 3X + 3 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: A5354E8D396971B1A9559C3342E7DB11E28B3C53956917D106CF60AFCA0F0000 nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: A4365E8439C835B069549C2A43E2D930E2983A52856C97500E8E40EEE20EFFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: A4375E8539C935B169559C2B43E3D931E2993A53856D97510E8F40EFE20F0000 nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_2(X) = X^2  	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
